,article_name,monthly_viewcount,day,year,month,peak_date
104,"Wilhelm_II,_German_Emperor",336191,14,2016,6,2016-06-14
105,Member_state_of_the_European_Union,335321,24,2016,6,2016-06-24
106,Oscar_Pistorius,334584,15,2016,6,2016-06-15
107,Issus_(genus),333773,5,2016,6,2016-06-05
108,Peaky_Blinders_(TV_series),332575,2,2016,6,2016-06-02
109,Joe_Frazier,332134,4,2016,6,2016-06-04
110,Penny_Dreadful_(TV_series),330735,20,2016,6,2016-06-20
111,List_of_countries_by_GDP_(nominal),330230,24,2016,6,2016-06-24
112,Battle_of_the_Bastards,328764,20,2016,6,2016-06-20
113,The_Winds_of_Winter,325661,27,2016,6,2016-06-27
114,2014_FIFA_World_Cup,323468,27,2016,6,2016-06-27
115,"New_Zealand_general_election,_1984",317511,15,2016,6,2016-06-15
116,2016_NBA_draft,313399,24,2016,6,2016-06-24
117,England_national_football_team,313204,28,2016,6,2016-06-28
118,Jurassic_Park_(film),312909,17,2016,6,2016-06-17
119,Overwatch_(video_game),312694,1,2016,6,2016-06-01
120,Me_Before_You_(film),311553,6,2016,6,2016-06-06
121,Gordie_Howe,311501,10,2016,6,2016-06-10
122,Elon_Musk,311240,2,2016,6,2016-06-02
123,Germany_national_football_team,308886,12,2016,6,2016-06-12
124,Michael_Jordan,308364,20,2016,6,2016-06-20
125,World_War_I,308020,14,2016,6,2016-06-14
126,Germany,306459,24,2016,6,2016-06-24
127,Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows_(film),306330,3,2016,6,2016-06-03
128,HTTP_404,305150,16,2016,6,2016-06-16
129,George_Foreman,304326,4,2016,6,2016-06-04
130,Me_Before_You,303621,3,2016,6,2016-06-03
131,Brock_Lesnar,303415,6,2016,6,2016-06-06
132,Omar_Mateen,302347,14,2016,6,2016-06-14
133,Canada,301052,28,2016,6,2016-06-28
134,Dimitri_Payet,300301,10,2016,6,2016-06-10
135,Taylor_Swift,299957,16,2016,6,2016-06-16
136,Gotthard_Base_Tunnel,299158,1,2016,6,2016-06-01
137,Silicon_Valley_(TV_series),298747,27,2016,6,2016-06-27
138,Now_You_See_Me_(film),296116,11,2016,6,2016-06-11
139,Elizabeth_Warren,294416,10,2016,6,2016-06-10
140,XHamster,293913,12,2016,6,2016-06-12
141,China,292564,16,2016,6,2016-06-16
142,Adolf_Hitler,291435,6,2016,6,2016-06-06
143,Technocracy_movement,290428,9,2016,6,2016-06-09
144,Mike_Tyson,290251,4,2016,6,2016-06-04
145,10_Cloverfield_Lane,290152,5,2016,6,2016-06-05
146,Cleveland_Cavaliers,289733,20,2016,6,2016-06-20
147,Wales,288905,16,2016,6,2016-06-16
148,Northern_Ireland,288108,24,2016,6,2016-06-24
149,List_of_Steven_Universe_episodes,288054,3,2016,6,2016-06-03
150,A._R._Rahman,286576,26,2016,6,2016-06-26
151,Australia,283956,14,2016,6,2016-06-14
152,List_of_Running_Man_episodes,282863,27,2016,6,2016-06-27
153,Italy_national_football_team,280839,13,2016,6,2016-06-13
154,Independence_Day_(1996_film),280086,24,2016,6,2016-06-24
155,R._D._Burman,278604,27,2016,6,2016-06-27
156,No_One_(Game_of_Thrones),278283,13,2016,6,2016-06-13
157,Serial_ATA,278180,3,2016,6,2016-06-03
158,Mel_Brooks,277916,28,2016,6,2016-06-28
159,O._J._Simpson_murder_case,277393,19,2016,6,2016-06-19
160,Garbiñe_Muguruza,277203,4,2016,6,2016-06-04
161,UFC_Fight_Night:_MacDonald_vs._Thompson,276852,19,2016,6,2016-06-19
162,Syrian_Civil_War,276847,13,2016,6,2016-06-13
163,Muhammad,276481,19,2016,6,2016-06-19
164,Second_Amendment_to_the_United_States_Constitution,275813,14,2016,6,2016-06-14
165,Dwayne_Johnson,275722,17,2016,6,2016-06-17
166,List_of_Naruto:_Shippuden_episodes,274759,23,2016,6,2016-06-23
167,Ishi,274314,19,2016,6,2016-06-19
168,V_for_Vendetta_(film),273683,15,2016,6,2016-06-15
169,Muhammad_Ali,272379,4,2016,6,2016-06-04
170,Marilyn_Monroe,271991,1,2016,6,2016-06-01
171,Kyrie_Irving,271745,20,2016,6,2016-06-20
172,Russia,271533,15,2016,6,2016-06-15
173,List_of_Game_of_Thrones_characters,271231,27,2016,6,2016-06-27
174,Brock_Turner,271225,10,2016,6,2016-06-10
175,Bernie_Sanders,268734,8,2016,6,2016-06-08
176,England,267339,24,2016,6,2016-06-24
177,Golden_State_Warriors,266691,20,2016,6,2016-06-20
178,Prince_(musician),266204,7,2016,6,2016-06-07
179,San_Francisco_Zoo_tiger_attacks,265174,13,2016,6,2016-06-13
180,Nuclear_Suppliers_Group,265097,24,2016,6,2016-06-24
181,Harry_Potter_and_the_Cursed_Child,264181,8,2016,6,2016-06-08
182,The_Shallows_(film),264004,24,2016,6,2016-06-24
183,Bicycle_Race,263305,1,2016,6,2016-06-01
184,Medieval_cuisine,263021,7,2016,6,2016-06-07
185,The_Amityville_Horror,262990,13,2016,6,2016-06-13
186,List_of_most_viewed_YouTube_videos,260404,7,2016,6,2016-06-07
187,Michael_Jackson,258584,22,2016,6,2016-06-22
188,Sia_Furler,258357,24,2016,6,2016-06-24
189,13_Hours:_The_Secret_Soldiers_of_Benghazi,257407,13,2016,6,2016-06-13
190,Amber_Heard,256464,1,2016,6,2016-06-01
191,Will_Grigg,255305,21,2016,6,2016-06-21
192,France,255124,24,2016,6,2016-06-24
